14.02,2.33,0.00,5.00,5.00,40.00,0.00,100.00,60.00,0.00,20.00,13.00,1.00 
9.28,1.74,0.00,7.00,9.00,31.00,100.00,160.00,15.00,0.00,20.00,34.00,1.00 
9.12,1.52,0.00,16.00,7.00,41.00,80.00,160.00,45.00,0.00,30.00,34.00,1.00 
14.44,2.94,0.00,3.00,4.00,40.00,0.00,160.00,75.00,60.00,20.00,1.00,1.00 
14.23,2.93,0.00,10.00,10.00,44.00,0.00,235.00,45.00,0.00,10.00,23.00,1.00 
14.51,3.00,0.00,11.00,3.00,26.00,80.00,145.00,15.00,0.00,25.00,37.00,1.00 
15.44,2.42,0.00,5.00,10.00,35.00,0.00,190.00,90.00,0.00,25.00,3.00,1.00 
8.67,1.80,100.00,0.00,0.00,11.00,0.00,250.00,45.00,20.00,25.00,32.00,1.00 
8.57,2.95,100.00,13.00,10.00,33.00,0.00,250.00,45.00,0.00,10.00,29.00,1.00 
14.22,1.83,0.00,10.00,8.00,32.00,0.00,130.00,45.00,20.00,35.00,27.00,1.00 
14.16,2.56,100.00,13.00,10.00,14.00,0.00,205.00,75.00,0.00,10.00,0.00,1.00 
14.67,1.54,0.00,9.00,7.00,24.00,0.00,100.00,60.00,60.00,10.00,33.00,1.00 
13.76,0.90,0.00,3.00,6.00,30.00,60.00,160.00,30.00,0.00,25.00,33.00,1.00 
15.38,2.39,100.00,12.00,8.00,25.00,0.00,235.00,30.00,20.00,25.00,40.00,1.00 
9.51,2.81,200.00,40.00,0.00,11.00,0.00,160.00,30.00,0.00,25.00,4.00,1.00 
9.11,2.36,0.00,10.00,10.00,22.00,0.00,115.00,90.00,60.00,35.00,26.00,1.00 
17.63,1.78,100.00,3.00,1.00,15.00,0.00,175.00,15.00,0.00,15.00,8.00,1.00 
10.24,2.84,0.00,13.00,6.00,22.00,40.00,115.00,75.00,0.00,10.00,29.00,1.00 
17.48,1.51,0.00,11.00,3.00,25.00,60.00,160.00,45.00,0.00,30.00,36.00,1.00 
10.81,1.95,0.00,3.00,24.00,19.00,0.00,205.00,15.00,80.00,30.00,4.00,1.00 
18.56,2.24,0.00,3.00,3.00,10.00,80.00,175.00,45.00,40.00,20.00,0.00,1.00 
18.18,2.84,0.00,5.00,8.00,17.00,60.00,160.00,60.00,20.00,30.00,21.00,1.00 
18.16,2.00,0.00,4.00,9.00,13.00,80.00,145.00,90.00,0.00,40.00,7.00,1.00 
10.99,2.76,0.00,23.00,0.00,27.00,0.00,130.00,60.00,40.00,40.00,2.00,1.00 
17.69,2.02,0.00,4.00,5.00,15.00,60.00,175.00,90.00,0.00,20.00,32.00,1.00 
18.27,2.02,0.00,3.00,1.00,24.00,0.00,190.00,30.00,40.00,25.00,35.00,1.00 
17.68,2.88,0.00,0.00,22.00,15.00,60.00,100.00,60.00,80.00,25.00,38.00,1.00 
18.53,2.97,100.00,3.00,9.00,38.00,80.00,250.00,60.00,0.00,15.00,36.00,1.00 
17.57,1.89,0.00,23.00,1.00,24.00,20.00,235.00,60.00,0.00,35.00,1.00,1.00 
18.71,2.54,0.00,6.00,6.00,26.00,20.00,100.00,30.00,0.00,20.00,31.00,1.00 
17.87,2.43,0.00,12.00,5.00,19.00,0.00,205.00,75.00,0.00,30.00,18.00,1.00 
18.01,2.32,0.00,0.00,25.00,29.00,20.00,160.00,15.00,0.00,30.00,25.00,1.00 
18.01,1.63,0.00,8.00,7.00,25.00,0.00,115.00,30.00,0.00,35.00,21.00,1.00 
18.62,1.68,0.00,2.00,4.00,0.00,80.00,145.00,60.00,0.00,15.00,10.00,1.00 
18.66,2.18,0.00,11.00,2.00,22.00,0.00,115.00,60.00,0.00,35.00,28.00,1.00 
18.76,2.92,0.00,0.00,0.00,13.00,0.00,160.00,75.00,0.00,10.00,25.00,1.00 
19.25,2.35,0.00,6.00,1.00,15.00,40.00,175.00,60.00,40.00,30.00,27.00,1.00 
